,KEN: Nairobi,KEN: Central,KEN: Eastern,KEN: Rift Valley,KEN: Nyanza,KEN: Western,KEN: North Eastern,"KEN: Coast"
Never had a job,0.081,0.039,0.033,0.219,0.038,0.189,0.508,".164
"
Student,0.069,0.054,0.061,0.038,0.030,0.026,0.032,".019
"
Housewife / homemaker,0.096,0.055,0.071,0.071,0.061,0.089,0.063,".028
"
Agriculture / farming / fishing / forestry,0.040,0.308,0.356,0.207,0.424,0.327,0.106,".151
"
Trader / hawker / vendor,0.160,0.134,0.125,0.079,0.103,0.087,0.050,".227
"
Retail / Shop,0.122,0.036,0.040,0.040,0.064,0.053,0.061,".073
"
Unskilled manual worker,0.144,0.145,0.161,0.108,0.053,0.059,0.036,".158
"
Artisan or skilled manual worker,0.096,0.103,0.075,0.074,0.094,0.067,0.057,".051
"
Clerical or secretarial,0.019,0.023,0.020,0.000,0.036,0.000,0.019,".021
"
Supervisor / Foreman / Senior Manager,0.006,0.021,0.000,0.016,0.004,0.018,0.000,"0
"
Security services,0.005,0.040,0.000,0.028,0.014,0.023,0.007,"0
"
Mid0.000level professional,0.026,0.031,0.028,0.056,0.061,0.030,0.038,".053
"
Upper0.000level professional,0.036,0.011,0.000,0.004,0.008,0.006,0.000,".019
"
Other,0.090,0.000,0.029,0.060,0.009,0.025,0.024,".037
"
Don´t know,0.010,0.000,0.000,0.000,0.000,0.000,0.000,"0.000"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,